article_last_modified_date,article_media_image_src,article_media_name,article_media_url,article_reporter,article_title,article_url,keyword_1,keyword_2,keyword_3
2022.10.10 12:47,https://thumb.zumst.com/v2/convert?quality=100&height=26&url=https://static.news.zumst.com/images/upload/2022/01/03/19/32c756c11c5e4024a20ed16bdfe357c7.png,서울신문,/media/10,,김정기 작가 세상 뜨자마자 AI 그림 트위터에 올리고 “오마주”,https://news.zum.com/articles/78718721,작가,그림,작품
2022.10.10 11:48,https://thumb.zumst.com/v2/convert?quality=100&height=26&url=https://static.news.zumst.com/images/upload/2021/04/26/18/1626e540f2bf4c31a6ed0b283d18d04e.jpg,오마이뉴스,/media/118,김종성(jkim0815@naver.com),"유교 지도자가 자진해서 일본에 보낸 선물... 대단한 사건 [김종성의 '히, 스토리']",https://news.zum.com/articles/78718129,일제,박상준,일본
2022.10.10 11:57,https://thumb.zumst.com/v2/convert?quality=100&height=26&url=https://static.news.zumst.com/images/upload/2021/04/26/17/68375017a1184f1cb58773d32b4b13d7.jpg,연합뉴스,/media/3,조준형,"중국, 태양 관측위성 '콰푸-1호' 발사 성공",https://news.zum.com/articles/78718185,태양,중국,위성
2022.10.10 12:00,https://thumb.zumst.com/v2/convert?quality=100&height=26&url=https://static.news.zumst.com/images/upload/2021/04/26/17/d93a3af26fbf4e4481aacf182207567f.jpg,아시아경제,/media/23,차민영,"'건당 2800원' 등기우편, 문자로 대체…KT 행정혁신 돕는다",https://news.zum.com/articles/78718219,문자,서비스,위치
2022.10.10 12:00,https://thumb.zumst.com/v2/convert?quality=100&height=26&url=https://static.news.zumst.com/images/upload/2021/04/26/17/18991d3cb718475fbff09f57db915df5.jpg,전자신문,/media/12,,"포스토피아-포뎁스, 우편과 모바일 전자고지 통합발송",https://news.zum.com/articles/78718337,전자,발송,우편
2022.10.10 12:54,https://thumb.zumst.com/v2/convert?quality=100&height=26&url=https://static.news.zumst.com/images/upload/2021/04/26/17/18991d3cb718475fbff09f57db915df5.jpg,전자신문,/media/12,,"이노와이어리스 계측장비, 국산 최초 5G 무선국 검사장비 선정",https://news.zum.com/articles/78718338,장비,검사,이노와이어리스
2022.10.10 12:29,https://thumb.zumst.com/v2/convert?quality=100&height=26&url=https://static.news.zumst.com/images/upload/2021/04/26/18/3ef0a78e7f7943b28a42e8b628621f6e.jpg,뉴스웨이,/media/41,차재서,"'비트코인 3억 횡령' 가상자산거래소 직원, 1심서 징역 2년",https://news.zum.com/articles/78718587,횡령,가상,자산
2022.10.10 12:00,https://thumb.zumst.com/v2/convert?quality=100&height=26&url=https://static.news.zumst.com/images/upload/2021/04/26/17/18991d3cb718475fbff09f57db915df5.jpg,전자신문,/media/12,,'3회 민간주도탄소감축포럼' 개최…반월·시화 중소중견 기업 '탄소중립' 해법 모색,https://news.zum.com/articles/78718335,탄소,기업,중립
2022.10.10 08:04,https://thumb.zumst.com/v2/convert?quality=100&height=26&url=https://static.news.zumst.com/images/upload/2021/04/26/17/4a4a55da147945eda3edc2f96496918e.jpg,머니투데이,/media/11,박효주기자,"손톱 길이만 '버스 한 대'…25년째 손톱 안 자르는 여성, 이유는?",https://news.zum.com/articles/78715237,손톱,다이애나,불편
2022.10.10 09:20,https://thumb.zumst.com/v2/convert?quality=100&height=26&url=https://static.news.zumst.com/images/upload/2021/04/26/17/d93a3af26fbf4e4481aacf182207567f.jpg,아시아경제,/media/23,황수미,"푸틴 자존심도 '박살'났다…""우크라 반격 70%, 이것 덕분""",https://news.zum.com/articles/78715808,하이,마스,우크라이나
